GeneID,Symbol,Description,Synonyms,Maestro score,FDR,Evidence,Tissues
11947,Atp5b,"""ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit""",P56480,36,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
64656,Mrps23,mitochondrial ribosomal protein S23,"2310047I09Rik, D11Bwg1153e, Rpms23, Q8VE22",36,0%,"""literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
110842,Etfa,"""electron transferring flavoprotein, alpha polypeptide""","2010200I21Rik, D9Ertd394e, Q99LC5",36,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++""",all 14
14194,Fh1,fumarate hydratase 1,"Fh, Fh-1, P97807",36,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
218506,Mrps27,mitochondrial ribosomal protein S27,"2610028H14Rik, Q8BK72",36,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
69046,Isca1,iron-sulfur cluster assembly 1 homolog (S. cerevisiae),"1810010A06Rik, Hbld2, Q9D924",36,0%,"""APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
67834,Idh3a,isocitrate dehydrogenase 3 (NAD+) alpha,"1110003P10Rik, 1500012E04Rik, AA407078, AI316514, Q9D6R2",36,0%,"""APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
227197,Ndufs1,NADH dehydrogenase (ubiquinone) Fe-S protein 1,"5830412M15Rik, 9930026A05Rik, Q91VD9",35,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
11992,Auh,AU RNA binding protein/enoyl-coenzyme A hydratase,"C77140, W91705, Q9JLZ3",35,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
69597,Afg3l2,AFG3(ATPase family gene 3)-like 2 (yeast),"2310036I02Rik, AW260507, Emv66, par, Q8JZQ2",35,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
66865,Pmpca,peptidase (mitochondrial processing) alpha,"1200002L24Rik, 4933435E07Rik, Alpha-MPP, P-55, Q9DC61",35,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++""",all 14
69802,Cox11,cytochrome c oxidase assembly protein 11,"2010004I09Rik, Q6P8I6",35,0%,"""literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS""","cerebrum, cerebellum, spinalcord, skeletalmuscle, largeintestine, placenta"
20916,Sucla2,"""succinate-Coenzyme A ligase, ADP-forming, beta subunit""","4930547K18Rik, Q9Z2I9",35,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
102436,Lars2,"""leucyl-tRNA synthetase, mitochondrial""","AI035546, Kiaa0028, LEURS, Q8VDC0",35,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
28080,Atp5o,"""ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit""","ATPO, D12Wsu28e, OSCP, Q9DB20",34,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++""",all 14
67308,Mrpl46,mitochondrial ribosomal protein L46,"3110052F15Rik, C15orf4, C80107, LIECG2, P2ECSL, Q9EQI8",34,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++""","cerebrum, cerebellum, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, placenta, testis"
226139,Cox15,cytochrome c oxidase assembly protein 15,"2900026G05Rik, Q8BJ03",34,0%,"""literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS""","cerebrum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66576,Uqcrh,ubiquinol-cytochrome c reductase hinge protein,"2210416J04Rik, 2310021J10Rik, 2610041P16Rik, P99028",34,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
67044,Higd2a,"""HIG1 domain family, member 2A""","2010110M21Rik, AA690237, Q9CQJ1",34,0%,"""APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
30059,Timm10,translocase of inner mitochondrial membrane 10,"Tim13, Timm13a, P62073",34,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66841,Etfdh,"""electron transferring flavoprotein, dehydrogenase""","0610010I20Rik, AV001013, Q921G7",34,0%,"""literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
93747,Echs1,"""enoyl Coenzyme A hydratase, short chain, 1, mitochondrial""","C80529, Q8BH95",34,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
97212,Hadha,"""hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit""","C77020, Mtpa, Q8BMS1",33,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
12039,Bckdha,"""branched chain ketoacid dehydrogenase E1, alpha polypeptide""",Q3U3J1,33,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++""","cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
56451,Suclg1,"""succinate-CoA ligase, GDP-forming, alpha subunit""","1500000I01Rik, Sucla1, Q9WUM5",33,0%,"""targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
12974,Cs,citrate synthase,"2610511A05Rik, 9030605P22Rik, BB234005, Cis, ahl4, Q9CZU6",33,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
12861,Cox6a1,cytochrome c oxidase subunit VIa polypeptide 1,"VIaL, P43024",33,0%,"""literature, targetP signal+, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++""",all 14
11409,Acads,"""acyl-Coenzyme A dehydrogenase, short chain""","AI196007, Bcd-1, Bcd1, Hdlq8, SCAD, Q07417",33,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
72900,Ndufv2,NADH dehydrogenase (ubiquinone) flavoprotein 2,"2900010C23Rik, Q9D6J6",32,0%,"""literature, APEX_matrix, targetP signal+, Rickettsial homolog, induction, coexpression++, MS/MS++""",all 14
381314,Iars2,"""isoleucine-tRNA synthetase 2, mitochondrial""","2010002H18Rik, C79125, Q8BIJ6",32,0%,"""APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
217707,Coq6,coenzyme Q6 homolog (yeast),"5930427M12Rik, AW742344, Q8R1S0",32,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS+""","cerebrum, cerebellum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
11958,Atp5k,"""ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E""","2610008D24Rik, Atp5i, Lfm1, Q06185",32,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain+, coexpression++, MS/MS++""",all 14
170718,Idh3b,isocitrate dehydrogenase 3 (NAD+) beta,"C78231, Q91VA7",32,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++""",all 14
67130,Ndufa6,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14)""","14kDa, 2700038D15Rik, B230217P19Rik, Q9CQZ5",32,0%,"""literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
56384,Letm1,leucine zipper-EF-hand containing transmembrane protein 1,Q9Z2I0,32,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain+, coexpression++, MS/MS++""",all 14
246782,Atpaf2,ATP synthase mitochondrial F1 complex assembly factor 2,"ATP12, ATP12p, Q91YY4",32,0%,"""literature, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
170728,Rtn4ip1,reticulon 4 interacting protein 1,"D10Ertd690e, NIMP, Q924D0",32,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
94067,Mrpl43,mitochondrial ribosomal protein L43,"4930442D21Rik, bMRP36a, Q5RL20",31,0%,"""literature, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression, MS/MS++""",all 14
68758,Abhd11,abhydrolase domain containing 11,"1110054D16Rik, A630008N09Rik, Wbscr21, Q8K4F5",31,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++""","cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66525,Timm50,translocase of inner mitochondrial membrane 50,"2810403L02Rik, AU015082, TIM50L, Q9D880",31,0%,"""literature, APEX_IMS, targetP signal+, yeast mito homolog++, mito protein domain, coexpression++, MS/MS++""",all 14
68611,Mrpl28,mitochondrial ribosomal protein L28,"1110015G04Rik, L28mt, MAAT1, MRP-L28, p15, Q9D1B9",31,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66072,Sdhaf2,succinate dehydrogenase complex assembly factor 2,"0610038F07Rik, AA407634, AW049997, Q8C6I2",31,0%,"""GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
67264,Ndufb8,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8,"2900010I05Rik, AI987932, Q9D6J5",31,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
13382,Dld,dihydrolipoamide dehydrogenase,O08749,31,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
17995,Ndufv1,NADH dehydrogenase (ubiquinone) flavoprotein 1,"CI-51kD, Q91YT0",31,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
226646,Ndufs2,NADH dehydrogenase (ubiquinone) Fe-S protein 2,"AL033311, Q91WD5",31,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
74143,Opa1,optic atrophy 1,"1200011N24Rik, AI225888, AI847218, lilr3, mKIAA0567, P58281",31,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++""",all 14
76614,Immt,"""inner membrane protein, mitochondrial""","1700082C19Rik, D830041H16Rik, HMP, P87, P87/89, P89, Q8CAQ8",31,0%,"""literature, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++""",all 14
68117,Apool,apolipoprotein O-like,"6720473G16Rik, 9430083G14Rik, E130106L15Rik, Q78IK4",31,0%,"""literature, yeast mito homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
74142,Lonp1,"""lon peptidase 1, mitochondrial""","1200017E13Rik, LON, Prss15, Q8CGK3",31,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++""",all 14
27273,Pdk4,"""pyruvate dehydrogenase kinase, isoenzyme 4""","AV005916, O70571",31,0%,"""literature, targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, testis"
68614,Letmd1,LETM1 domain containing 1,"1110019O13Rik, AI593524, BB130465, BB235638, HCCR-2, HCCR1, MCC-32, Mccr, Q924L1",31,0%,"""GFP, targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, placenta, testis"
76784,Mtif2,mitochondrial translational initiation factor 2,"2310038D14Rik, 2410112O06Rik, IF-2(Mt), IF-2mt, IF2(mt), Q91YJ5",31,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS""",all 14
225887,Ndufs8,NADH dehydrogenase (ubiquinone) Fe-S protein 8,"BC021616, CI-23kD, TYKY, Q8K3J1",30,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
75406,Ndufs7,NADH dehydrogenase (ubiquinone) Fe-S protein 7,"1010001M04Rik, Q9DC70",30,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
67871,Mrrf,mitochondrial ribosome recycling factor,"2400002D02Rik, MRFF, MTRRF, RRF, Q9D6S7",30,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++""",all 14
27398,Mrpl2,mitochondrial ribosomal protein L2,"CGI-22, MRP-L14, Rpml14, Q9D773",30,0%,"""literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""","spinalcord, liver, heart, adipose, smallintestine, largeintestine, placenta, testis"
320806,Gfm2,"""G elongation factor, mitochondrial 2""","6530419G12Rik, A930009M04Rik, EF-G2mt, EFG2, MST027, RRF2mt, Q8R2Q4",30,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
30056,Timm9,translocase of inner mitochondrial membrane 9,"2810011L15Rik, Tim10a, Timm10, Q9WV98",30,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++""",all 14
69617,Pitrm1,pitrilysin metallepetidase 1,"2310012C15Rik, AA410010, MP-1, MP1, Ntup1, PreP, mKIAA1104, Q8K411",30,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++""",all 14
11364,Acadm,"""acyl-Coenzyme A dehydrogenase, medium chain""","AU018656, MCAD, P45952",30,0%,"""literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
338359,Supv3l1,"""suppressor of var1, 3-like 1 (S. cerevisiae)""","6330443E10Rik, Q80YD1",30,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression+, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
94061,Mrpl1,mitochondrial ribosomal protein L1,"2410002L03Rik, 5830418D04Rik, AI462572, L1mt, Q99N96",30,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression, MS/MS++""","cerebrum, cerebellum, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
11429,Aco2,"""aconitase 2, mitochondrial""","Aco-2, Aco3, D10Wsu183e, Q99KI0",30,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
